0x031F,142,22,6.454545,/source/projects/sprites/sprites.hs:107
0x0327,2326,341,6.821115,/source/projects/sprites/sprites.hs:265
0x032E,2043,341,5.991202,/source/projects/sprites/sprites.hs:266
0x0336,2614,341,7.665689,/source/projects/sprites/sprites.hs:267
0x0340,2353,341,6.900293,/source/projects/sprites/sprites.hs:268
0x034A,2812,341,8.246334,/source/projects/sprites/sprites.hs:269
0x0354,4733,341,13.87977,/source/projects/sprites/sprites.hs:270
0x0364,580,341,1.70088,/source/projects/sprites/sprites.hs:271
0x0368,783,136,5.757353,/source/projects/sprites/sprites.hs:73
0x0370,1715,136,12.61029,/source/projects/sprites/sprites.hs:76
0x037D,1862,136,13.69118,/source/projects/sprites/sprites.hs:77
0x038A,1608,136,11.82353,/source/projects/sprites/sprites.hs:78
0x0397,440,136,3.235294,/source/projects/sprites/sprites.hs:79
0x039B,1125,136,8.272058,/source/projects/sprites/sprites.hs:81
0x03A3,1124,136,8.264706,/source/projects/sprites/sprites.hs:82
0x03AC,879,136,6.463235,/source/projects/sprites/sprites.hs:85
0x03B4,626,136,4.602941,/source/projects/sprites/sprites.hs:86
0x03BB,934,136,6.867647,/source/projects/sprites/sprites.hs:87
0x03C0,3722,136,27.36765,/source/projects/sprites/sprites.hs:90
0x03DD,594,136,4.367647,/source/projects/sprites/sprites.hs:91
0x03E3,234,136,1.720588,/source/projects/sprites/sprites.hs:92
0x03E6,268,9,29.77778,/source/projects/sprites/sprites.hs:61
0x0409,0,9,0,/source/projects/sprites/sprites.hs:62
0x040D,144,17,8.470589,/source/projects/sprites/sprites.hs:113
0x0415,1796,272,6.602941,/source/projects/sprites/sprites.hs:123
0x041B,2873,272,10.5625,/source/projects/sprites/sprites.hs:124
0x0426,877,272,3.224265,/source/projects/sprites/sprites.hs:125
0x042A,389,32,12.15625,/source/projects/sprites/sprites.hs:127
0x0435,377,32,11.78125,/source/projects/sprites/sprites.hs:128
0x0440,110,32,3.4375,/source/projects/sprites/sprites.hs:129
0x0444,235,32,7.34375,/source/projects/sprites/sprites.hs:131
0x044C,293,32,9.15625,/source/projects/sprites/sprites.hs:132
0x0455,188,32,5.875,/source/projects/sprites/sprites.hs:135
0x045B,189,32,5.90625,/source/projects/sprites/sprites.hs:136
0x0461,125,32,3.90625,/source/projects/sprites/sprites.hs:137
0x0467,79,32,2.46875,/source/projects/sprites/sprites.hs:138
0x046B,32,32,1,/source/projects/sprites/sprites.hs:140
0x046D,935,32,29.21875,/source/projects/sprites/sprites.hs:143
0x048A,64,32,2,/source/projects/sprites/sprites.hs:144
0x0490,31,32,0.96875,/source/projects/sprites/sprites.hs:145
0x0498,2435,272,8.952206,/source/projects/sprites/sprites.hs:153
0x049D,48,17,2.823529,/source/projects/sprites/sprites.hs:154
0x04A1,15,1,15,/source/projects/sprites/sprites.hs:243
0x04A8,79,16,4.9375,/source/projects/sprites/sprites.hs:251
0x04AE,158,16,9.875,/source/projects/sprites/sprites.hs:252
0x04B9,45,16,2.8125,/source/projects/sprites/sprites.hs:253
0x04BD,47,5,9.4,/source/projects/sprites/sprites.hs:255
0x04C5,47,5,9.4,/source/projects/sprites/sprites.hs:256
0x04CE,31,5,6.2,/source/projects/sprites/sprites.hs:257
0x04D4,171,16,10.6875,/source/projects/sprites/sprites.hs:259
0x04D8,0,1,0,/source/projects/sprites/sprites.hs:260
0x04DC,4387,682,6.432551,/source/projects/sprites/sprites.hs:197
0x04E6,1079,173,6.236994,/source/projects/sprites/sprites.hs:202
0x04ED,1780,173,10.28902,/source/projects/sprites/sprites.hs:203
0x04F8,3226,682,4.730205,/source/projects/sprites/sprites.hs:205
0x04FC,3285,682,4.816716,/source/projects/sprites/sprites.hs:158
0x0500,268,27,9.925926,/source/projects/sprites/sprites.hs:160
0x0514,1062,141,7.531915,/source/projects/sprites/sprites.hs:162
0x0528,16,5,3.2,/source/projects/sprites/sprites.hs:164
0x053C,3897,509,7.656188,/source/projects/sprites/sprites.hs:166
0x0548,1869,341,5.480938,/source/projects/sprites/sprites.hs:275
0x054E,1673,341,4.906158,/source/projects/sprites/sprites.hs:277
0x0554,1764,341,5.17302,/source/projects/sprites/sprites.hs:278
0x0559,2485,341,7.28739,/source/projects/sprites/sprites.hs:279
0x0561,4687,341,13.74487,/source/projects/sprites/sprites.hs:280
0x0570,3670,341,10.76246,/source/projects/sprites/sprites.hs:281
0x057B,1698,341,4.979472,/source/projects/sprites/sprites.hs:282
0x0581,1673,341,4.906158,/source/projects/sprites/sprites.hs:284
0x0587,1483,341,4.348974,/source/projects/sprites/sprites.hs:285
0x058D,2865,341,8.401759,/source/projects/sprites/sprites.hs:286
